Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Taelon PeterÂ Â (TW),4,SG,3-Jun,185,February 27 2002,us US,R,Tennessee Technological University Arkansas Tech University Liberty
Ethan ThompsonÂ Â (TW),55,SG,4-Jun,195,May 4 1999,us US,R,Oregon State
Micah Potter,11,C,9-Jun,248,April 6 1998,us US,4,Ohio State Wisconsin
Kam Jones,7,SG,4-Jun,200,February 25 2002,us US,R,Marquette
Obi Toppin,1,PF,9-Jun,220,March 4 1998,us US,5,Dayton
Ivica Zubac,,C,Jul-00,240,March 18 1997,ba BA,9,
Tyrese Haliburton,,PG,5-Jun,185,February 29 2000,us US,5,Iowa State
Kobe Brown,,PF,7-Jun,250,January 1 2000,us US,2,Missouri
Tyrese Maxey,0,PG,2-Jun,200,November 4 2000,us US,5,Kentucky
VJ Edgecombe,77,SG,4-Jun,180,July 30 2005,bs BS,R,Baylor
Quentin Grimes,5,SG,4-Jun,210,May 8 2000,us US,4,Kansas Houston
Jabari WalkerÂ Â (TW),33,PF,7-Jun,237,July 30 2002,us US,3,Colorado
Adem Bona,30,C,10-Jun,235,March 28 2003,ng NG,1,UCLA
Dominick Barlow,25,PF,9-Jun,215,May 26 2003,us US,3,
Justin Edwards,11,SF,7-Jun,203,December 16 2003,us US,1,Kentucky
Andre Drummond,1,C,11-Jun,279,August 10 1993,us US,13,UConn
Joel Embiid,21,C,Jul-00,280,March 16 1994,cm CM,9,Kansas
Kelly Oubre Jr.,9,SF,8-Jun,203,December 9 1995,us US,10,Kansas
Trendon Watford,12,PF,8-Jun,237,November 9 2000,us US,4,LSU
Paul George,8,PF,8-Jun,220,May 2 1990,us US,15,Fresno State
Johni Broome,22,C,10-Jun,235,July 19 2002,us US,R,Morehead State University Auburn
Kyle Lowry,7,PG,Jun-00,196,March 25 1986,us US,19,Villanova
MarJon BeauchampÂ Â (TW),,SF,7-Jun,199,October 12 2000,us US,3,Yakima Valley Community College
Charles Bassey,,C,10-Jun,230,October 28 2000,ng NG,4,Western Kentucky
Patrick Baldwin Jr.,,SF,Jul-00,220,November 18 2002,us US,3,UW-Milwaukee
